,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
1921,00001000
1922,00000000
1923,00000000
1924,00000000
1925,00000000
1926,00001010
1927,00000000
1928,00001000
1929,11001110
1930,10101110
1931,10001010
1932,00001110
1933,11001110
1934,00000000
1935,00000000
1936,00000000
1937,00000000
1938,00001100
1939,10001110
1940,11101110
1941,00000000
1942,00000000
1943,00000000
1944,00000000
1945,00001000
1946,00001000
1947,00001100
1948,00000000
1949,00000000
1950,00000000
1951,10001110
1952,00001000
1953,10001110
1954,00000000
1955,11101110
1956,00000000
1957,00001110
1958,00001000
1959,10001100
1960,11101110
1961,00001000
1962,10001110
1963,00001000
1964,00000000
1965,10001010
1966,10001010
1967,10001010
1968,00000000
1969,00000000
1970,00001100
1971,00000000
1972,10001110
1973,10101110
1974,10001110
1975,00000000
1976,10001110
1977,00000000
1978,11101110
1979,00000000
1980,11001100
1981,00000000
1982,00000000
1983,00000000
1984,10001010
1985,00000000
1986,00000000
1987,00000000
1988,00001100
1989,10001100
1990,10001110
1991,00001010
1992,00000000
1993,10001110
1994,11101110
1995,00000000
1996,00001000
1997,00000000
1998,00001110
1999,00000000
2000,00001010
2001,00000000
2002,00000000
2003,00000000
2004,10101110
2005,00001000
2006,00000000
2007,00001000
2008,00001010
2009,00000000
2010,00000000
2011,00001100
2012,00000000
2013,00001000
2014,10001110
2015,10001010
2016,00000000
2017,00000000
2018,00000000
2019,00000000
2020,00001000
2021,00000000
2022,00000000
2023,00000000
2024,10001110
2025,00000000
2026,00000000
2027,11001110
2028,00000000
2029,00001100
2030,00000000
2031,10001100
2032,10001110
2033,00001110
2034,10001110
2035,10101010
2036,00001000
2037,00000000
2038,10101010
2039,10001110
2040,00000000
2041,00000000
2042,00000000
2043,10101010
2044,00000000
2045,00001010
2046,00000000
2047,00001100
2048,00000000
2049,10001110
2050,10001110
2051,10101110
2052,00001110
2053,11101110
2054,00000000
2055,00000000
2056,00001000
2057,00001100
2058,00001100
2059,10001110
2060,00001000
2061,00000000
2062,00000000
2063,00000000
2064,00001110
2065,10001110
2066,00001000
2067,00001000
2068,10001010
2069,11101110
2070,00000000
2071,10001100
2072,00000000
2073,00001000
2074,00000000
2075,00000000
2076,10001110
2077,10101110
2078,11101110
2079,00001100
2080,00000000
2081,00001000
2082,10001110
2083,00001000
2084,00001010
2085,10001010
2086,00000000
2087,00000000
2088,10101110
2089,00001000
2090,10001010
2091,00000000
2092,00001010
2093,00001000
2094,00000000
2095,11001110
2096,00001010
2097,00001000
2098,10001110
2099,00001000
2100,10001110
2101,00001100
2102,00000000
2103,00000000
2104,10101110
2105,10101010
